TIP,Cab,Taxi,Waiter,Restaurant,Money
HOSE,Pouch,Gallop,Animal,Australia,Captain
FROZEN,Movie,Ice,Disney,Snow,Water
MYOPIA,Glasses,Eyes,Vision,Nearsightedness,Optometrist
EXTRAORDINARY,Uncommon,Inquisitive,Extra,Big,Interesting
TERRORIST,Terrorism,Victim,Hostage,Iraq,Bombs
SHIP,Water,Navy,Oil,Fish,Submarine
GREEN,Grass,Car,Hause,Tree,Wall
CHOCOLATE,Tasty,Sweet,Milk,Dark,White
WIN,Try,Best,Go,Hell,You
FONT,Times,Serif,Computer,Word,Type
RESPONSIBILITY,Parents,School,Money,Family,Lose
FAIRY,Beautiful,Wand,Magic,Fantasia,Shine
WILD,Lion,Monster,Zoo,King,Life
GRANDSON,Generation,Kids,Mom,Children,Parent
KNITTING,Needles,Make,Scarf,Wool,Jumper
VIRUS,Trojan,Antivirus,Worm,Computer,Laptop
APPLE,Sweet,Crunchy,Red,Green,Addictive
PEARL,White,Shiny,Jewellery,Knit,Oyster
INQUIRY,Research,Inquest,Probe,Investigation,Inquisition
AN,Article,The,A,Every,Vowel
STRAW,Drink,Long,Glass,Soda,Tall
TORRENT,Download,Movies,Music,Software,Seeds
BYTE,Memory,Chew,Teeth,Bit,Computer
SCRUPLE,Scrap,Shred,Speck,Whit,Tittle
MACARONI,Pasta,Cheese,Food,Kraft,Cheddar
CHESS,King,Queen,Board,Checkmate,Game
BREAK,Crack,Decipher,Decrypt,Puzzle,Code
RIBBON,Present,Hair,Ornament,Bow,Lace
TACKY,Ugly,Taste,Thumb,Style,Clothes
CAKES,Birthday,Party,Dessert,Sweet,Icing
MAID,Servant,Help,Cleaner,Bed,Vacuum
GALA,Festivity,Party,Occasion,Affair,Celebration
ROYALTY,King,Queen,Prince,Princess,Castle
HOME,Family,Group,Birthplace,Grave,Native
AMOUNT,Aggregate,Total,Number,Reach,Final
SATCHEL,Purse,Man,Shoulder,Waist,England
RING,Gold,Wear,Engagement,Wedding,Finger
RAILROAD,Track,Caboose,Train,Ties,Conductor
PRESENTS,Christmas,Birthdays,Holidays,Gifts,Give
SPIRIT,Ghost,Poltergeist,Shade,Dead,Sense
DREARY,Boring,Dull,Weather,Tiring,Monotonous
ARMADILLO,Ball,Shell,Armoured,Animal,Small
VACUUM,Suck,Carpet,Dust,Clean,Chore
CHEERY,Red,Pit,Fruit,Tree,Pie
OTTOMAN,Chair,Turkey,Seat,Sofa,Empire
SUCCESS,Achieve,Accomplish,Reach,Attain,Win
CLOTHING,Shirt,Shorts,Pants,Socks,Scarf
REPORT,Book,Above,Manager,Summary,Speak
CELEBRITY,Luminary,Name,Notable,Personality,Hero
BALLET,Tutu,Dance,Pointe,Ballerina,Nutcracker
AMAZE,Awe,Astonish,Startle,Marvel,Astonish
EINSTEIN,Scientist,German,Physics,Nobel,Albert
LYRICS,Song,Lines,Compose,Musics,Poetry
TALCUM,Baby,Powder,White,Smell,Dry
CLOSET,Clothes,Hang,Bedroom,Store,Monster
BRICK,Red,Old,Rustic,Building,Heavy
HANGAR,Stay,Hip,Tiger,Jump,Cook
CURRENCY,Dollars,Money,Cash,Bank,Converter
DREES,Wear,Skirt,Woman,Girl,Bol
SUBSEQUENT,Next,Follow,After,Order,Then
PENULTIMATE,Second,Last,End,Before,Next
COMPANION,Counterpart,Mate,Match,Fellow,Twin
BACON,Pig,Breakfast,Eat,Sausage,Eggs
FAT,Food,Eat,Grease,Burger,Heavy
FRIEND,Male,Female,Girlfriend,Boyfriend,Relationship
HANG,Dangle,Depend,Sling,Suspend,Swing
WHISPER,Low,Talk,Secret,Hear,Speak
SPOON,Silver,Scoop,Eating,Soup,Utensil
SKUNK,Smelly,Black,Animal,Striped,Spray
SWEATSHIRT,Clothes,Hoodie,Oversized,College,Workout
BUTTERFLY,Cocoon,Metamorphosis,Larvae,Wings,Colorful
UNICORN,Horn,Horse,Fantasy,Mythical,White
CLEAN,Shower,Bathroom,Soap,Water,Naked
MANCALA,Game,Marbles,Rows,Wood,Play
PATRIOTISM,Country,Americans,Pride,Feel,Loyalty
FULL,Empty,Glass,Half,Stuffed,Hungry
CANINE,Animal,Pet,Tooth,Companion,Litter
TRUST,Believe,Promise,Break,Family,Friend
RECONCILIATION,Balance,Matching,Investigation,Debit,Credit
SCANDINAVIA,Sweden,Denmark,Finland,Norway,Iceland
RUGBY,Kick,Throw,Tackle,Run,Pass
COMMUNITY,Neighborhood,Vicinity,Surrounding,Environment,Center
ROUGH,Tough,Hard,Difficult,Edge,Sandpaper
SKETCH,Artist,Draw,Pad,Book,Courtroom
INK,Printer,Pen,Blot,Black,Invisible
WANK,Masturbate,Hand,Relief,Play,Ejaculate
MAMMAL,Leather,Chop,Devil,India,Play
DIMPLE,Smile,Indent,Happy,Face,Mouth
UNROLL,Open,Expand,Fan,Outstretch,Unfold
MONDAY,Week,Sunday,Tuesday,Thursday,Wednesday
GERMAN,Nazi,Hitler,Europe,Blond,Sauerkraut
SAMPLE,Example,Portion,Specimen,Culture,Excerpt
BOUNCER,Ball,Cricket,Bowler,Disco,Batsman
NARWHAL,Unicorn,Horn,Mythical,Magical,Sea
VEX,Chagrin,Annoy,Petulant,Peevish,Irritate
BOB,Scary,Guy,Common,Name,Robert
CALF,Cow,Feet,Knee,Leg,Muscle
SYMMETRY,Copy,Identical,Design,Paper,Mirror
RUSH,Bolt,Hurry,Race,Run,Scoot
SOAP,Clean,Dove,Zest,Shower,Dirt
ALIBI,Excuse,Explanation,Story,Defense,Reason
TYPE,Keyboard,Keys,Typewriter,Female,Male
ART,Creative,Skillful,Clever,Culture,Painting
APPLIANCE,Contraption,Device,Apparatus,Machine,Contrivance
HUNGARY,Budapest,Europe,Goulash,Danube,Wine
KNUCKLE,Hand,Bone,Fingers,Pop,Knock
HESITATION,Pause,Uncertain,Wait,Conversation,Talking
OCTOPUS,Slippery,Ocean,Sea,Animal,Soft
RETAIN,Withhold,Keep,Reserve,Hold,Own
FOUNDATION,Charity,Organization,Groundwork,Basis,Institution
THRONE,Seat,Royalty,King,Queen,Chair
VINTAGE,Old,Retro,Used,Wine,Antique
PEREGRINATE,Pass,Journey,Travel,Trek,Trip
FORK,Prongs,Silver,Pitch,Eating,Utensil
MILE,Length,Measurement,Feet,Inches,Kilometer
FROSTY,Snowman,Character,Carrot,Christmas,Button
WORD,Rule,Time,Cat,Dog,Fire
PRAYER,Pray,God,Church,Kneel,Eyes
AXE,Chop,Blade,Tool,Weapon,Sharp
MARMITE,Brown,English,Spread,Toast,Sticky
SOLID,Gas,Liquid,Hard,Soft,Mathematics
SANCTION,Adopt,Affirm,Approve,Pass,Ratify
BOOK,Paper,Words,Chapters,Pages,Author
IT,Film,Small,Word,Tiny,Little
TELESCOPE,Look,Scope,Stars,Planet,Sky
RHYME,Nursery,Poem,Limerick,Song,Goose
ODD,Weird,Opposite,Different,Quirky,Nerd
DOORKNOB,Open,Turn,Lock,Key,Room
HOUSE,Walls,Windows,Ceilings,Roof,Home
TUTU,Ballerina,Shoes,Feet,Dance,Pink
WEDGES,Heels,Thick,Fashion,Platform,Shoes
GARNER,Gleaner,Gatherer,Reaper,Collector,Avery
TRAP,Mouse,Hood,Stuck,Rat,Ghetto
MASTERS,Golf,Tennis,Sir,Teacher,Cricket
CHAPTER,Section,Series,Events,Branch,Group
APPLY,Address,Bend,Devote,Direct,Focus
POND,Turtle,Water,Fish,Rain,Ice
ALOHA,Hawaii,Greet,Hi,Bye,Tropical
WELLNESS,Fitness,Healthiness,Heartiness,Wholesomeness,Liveliness
RANDOM,Integer,Difficult,Order,Set,Peking
REFILL,Pen,Ink,Nib,Pencil,Write
DEBT,Owe,Money,Interest,Pay,Credit
BRASS,Cash,Money,Lucre,Currency,Change
CURFEW,Time,Hour,In,Out,Parents
BABOON,Red,Butt,Monkey,Silly,Animal
SCHOLARSHIP,Money,College,Pay,Essay,Qualify
OVEN,Easy,Bake,Kitchen,Cook,Pans
HELIPAD,Helicopter,Airplane,Takeoff,Landing,Depart
EYES,Specs,Ears,Vision,Sight,Face
MONK,Punch,Kick,Meditation,Calm,Prayer
PHO,Vietnamese,Soup,Beef,Noodles,Asian
DAIRY,Product,Milk,Cheese,Cow,Grocery
TINSEL,Christmas,Red,Gold,Decorations,Tree
INTERVAL,Time,Period,Level,Speed,Measurement
RIM,Glasses,Eye,Sight,Wear,Body
VELVET,Rabbit,Dress,Cloth,Clothing,Soft
RATS,Rodents,Evil,Dark,Tails,Kitchen
NAILS,Fingers,Toes,Grows,Pink,Hand
ROUTE,Football,Bus,Directions,Road,Path
RAM,Random,Memory,Fast,Gigabytes,Computer
JEWELS,Rubies,Diamond,Topaz,Necklace,Chain
AMTRAK,Awesome,Trains,Congress,Slow,Rail
TEETH,Chew,Grind,Mouth,White,Hard
SAME,Different,Opposite,Twins,Similar,Alike
LEPROSY,Disease,Colony,Contagious,Skin,Leper
DREAD,Fear,Alarm,Fright,Panic,Terror
FANGS,Vampire,Teeth,Canine,Bite,Mouth
KAZOO,Music,Monkey,Chicken,Loud,Annoying
CRUTCHES,Legs,Feet,Injury,Bone,Walk
FIRED,Boss,Gun,Cannon,Shot,Job
LANDSCAPE,Garden,Tools,Flowers,Weather,Grass
PERSON,Feet,Walk,Human,Usa,You
BEST,Good,Better,Superlative,Wedding,Groom
FUNGUS,Foot,Eye,Mushroom,Toe,Math
IMMERGE,Immerse,Douse,Dunk,Submerge,Submerse
EXPEDITE,Accelerate,Hasten,Hurry,Hustle,Quicken
PINK,Color,Girl,Female,Bear,Blue
INSUFFLATE,Snort,Nose,Sniff,Drugs,Administration
STEEL,Strong,Alloy,Carbon,Iron,Tough
FRECKLE,Face,Spot,Dot,Pimple,Sun
SLIT,Cut,Opening,Throat,Skirt,Wrist
ARMY,Iraq,Sergeant,Military,Discipline,Barrett
TABLECLOTH,Table,Covering,Dinner,White,Protect
CURRENT,Loop,Circuit,Resistance,Voltage,Transmit
BILL,Money,Clinton,Cheque,Paid,Waiter
DUCK,Bill,Pond,Duckling,Down,Bird
SHAZAM,Cartoon,App,Magic,Swag,Amazing
COOLER,Heat,Fan,Beer,Beverage,Sun
ELECTRICITY,Voltage,Current,Lightning,Power,Edison
ACUPUNCTURE,Needles,Chinese,Medicine,Pointy,Tradition
WOLVES,Canine,Pack,Cold,Husky,Howl
INTERJECTION,Emotion,Comma,Exclamation,Point,Question
TRINIDADIAN,Island,Citizen,Caribbean,Carnival,Beach
CHRISTIANITY,Jesus,Trinity,Bible,God,Cross
HEADMASTER,Directive,Indecisive,Illogical,Leader,School
CLOUD,White,Sky,Nine,Rain,Fluffy
FISHERMAN,Fishing,Pole,Catch,Fish,Water
PORCUPINE,Fish,Quills,Puffer,Nature,Wildlife
SILK,Moth,Soft,Sheets,Robe,Fabric
LIFE,Existence,Living,Individual,Alive,Human
WATERCOLOR,Paint,Brush,Art,Color,Scenery
CRISP,Crunch,Sharp,Fresh,Potato,Bite
SHUTTLE,Feathers,Plastic,Birdie,Racket,Thing
PERIPHERY,Circuit,Compass,Perimeter,Circumference,Ambit
TESTAMENT,Chuck,Eric,Alex,Steve,Gene
OPTIMIST,Happy,Bright,Cheerful,Negative,Delight
KNOW,Stage,Normal,Cost,Have,Why
POOP,Brown,Butt,Smelly,Stinky,Toilet
TRACK,Mark,Path,Structure,Line,Soundtrack
TEQUILLA,Mexico,Sunrise,Lime,Salt,Worm
RELAXED,Calm,Breath,Restful,Peaceful,Tranquil
BACKPACKER,Travel,World,Backpack,Hostel,Tourist
BUFFET,Eat,Food,Restaurant,Choose,Meal
NOUN,Person,Place,Thing,Idea,Feeling
KITE,Wind,Shapes,String,Floats,Air
RUNE,Magic,Cast,Speel,Round,Strike
COIN,Zeppelin,Road,Trees,Earth,Eris
BOOGER,Nose,Stuffy,Green,Gross,Pick
SHUTTLECOCK,Badminton,Racket,Feather,Judge,Court
POWER,Speed,Strength,Electricity,Fuel,Coal
LOCK,Blocked,Key,Unblock,Locked,Keyhole
SEASICK,Ocean,Ship,Tide,Overboard,Nausea
QUARTZ,Mineral,Rock,Music,Gem,Crystal
STRANGE,Odd,Unusual,Normal,Ordinary,Different
OVERWEIGHT,Fat,Diet,Large,Eat,Too
INFANT,Baby,Small,Little,Tiny,Human
CIRCUS,Ring,Clown,Lion,Fun,Tent
CAMPUS,University,College,Land,School,Study
IDEAS,Dreams,Imagination,Mind,Brain,Creation
CHAIR,Sit,Home,Wood,Desk,Ash
BEES,Sting,Yellow,Black,Hive,Honey
AUSTRALIA,City,State,Mountain,Country,River
MARS,Sun,System,Space,Earth,Planet
PLAYOFFS,Teams,Rounds,League,Champions,Winner
DELIGHT,Joy,Gladden,Enchant,Cheer,Please
DARE,Truth,Devil,Do,Brave,Game
HIDE,Seek,Fur,Animal,Game,Skin
LISBON,Hills,Portugal,Sunny,Capital,Tram
CAMBRIDGE,University,England,Punt,Blue,City
SHARP,Knife,Scratch,Cut,Spike,Blade
CLOUDS,Fluffy,Air,Fly,Sky,White
CAMPING,Tents,Hiking,Mountains,Fires,Fishing
ALGEBRA,Maths,Formula,Equation,Letters,Sum
MEDAL,Olympic,Gold,Bronze,Silver,Athens
COOKER,Oven,Food,Hot,Fry,Boil
UN,Plug,Do,Invite,Der,Dress
DETRIMENT,Bad,Harm,Nutriment,Help,Benefit
ARMPIT,Hairy,Shave,Deodorant,Sweat,Odor
ERASER,Pencil,Tip,Chalkboard,Rubber,Pink
MEXICO,Taco,Burrito,Enchilada,Spicy,Country
COTTON,Material,Clothes,Wear,Cool,Sew
CLIFF,Edge,Diving,Climbing,Rock,Wall
SICK,Medicine,Doctor,Pills,Diagnose,Bed
HOTSHOT,Fire,Wildfire,Water,Firefighter,Department
EDUCATION,Degree,School,Diploma,Learn,Classroom
ANTICIPATION,Expectation,Expectancy,Outlook,Prospect,Perspective
MISSING,Gone,Dog,Lost,There,Forgotten
STALE,Old,Bread,Dry,Fresh,Food
LADY,Map,Idiot,Dog,London,Maid
ECONOMICS,School,Economist,Studies,Unemployment,Inflation
FREEDOM,Ring,Choice,Democracy,America,Liberty
PRODUCT,Multiplication,Answer,Factor,Problem,Quotient
TOBACCO,South,Slave,Cigarette,Smoke,Nicotine
MARTINI,Olive,Apple,Dirty,Rocks,Fruity
BOYS,Big,Strong,Hight,Small,Funny
RUG,Floor,Carpet,Soft,Fur,Door
MILAN,Italy,Fashion,Pizza,Clothes,Business
STICK,Wood,Tree,Glue,Stay,Adhere
MONKEY,Banana,Swing,Zoo,Tree,Baboon
HOW,What,Why,Where,Who,That
PENNY,Cent,Loafer,Candy,Copper,Bank
STERILE,Germs,Bacteria,Clean,Infection,Children
BADGE,Cops,Law,Rules,Ticket,Police
SYNAGOGUE,Judaism,Worship,Prayer,Building,Religious
SUPPER,Eat,Food,Night,Dinner,Meal
PRINCETON,University,Study,Tough,President,Admission
DESI,Pakistani,Indian,Typical,Wierd,Stupid
NEW,Old,Create,Generate,Invent,Fresh
TITANIC,Ship,Voyage,Atlantic,Sink,Iceberg
INTIMATION,Hint,Idea,Notion,Possible,Clue
BRUNETTE,Brown,Girl,Hair,Easy,Blonde
ABOMINABLE,Hateful,Disgusting,Detestable,Despicable,Loathsome
WE,Us,Our,Family,Group,Joint
TOGETHER,Group,Bunch,Gang,Joined,United
RADAR,Radio,Plane,Missile,Ship,Submarine
WORLD,House,Sky,Earth,Yards,Trees
HANDLE,Grip,Knob,Half,Live,Dead
PIZZA,Round,Delivery,Crust,Sauce,Cheese
NEWBORN,Baby,Girl,Bottle,Hospital,Delivery
ZIPPER,Close,Shut,Jacket,Jeans,Purse
CLIP,Cut,Attach,Joiner,Hit,Paperclip
SPORTS,Football,Baseball,Basketball,Soccer,Rugby
BACKFLIP,Stunt,Cheerleading,Front,Gymnastics,Skilled
MONEY,Buy,Cash,Bank,Loot,Salary
SPANISH,Language,Hispanics,Speak,People,Spain
LCD,Liquid,Display,Computer,Monitor,Crystal
SWORD,Blade,Knife,Musketeer,Stone,Scabbard
ROCK,Music,Heavy,Loud,Guitars,Drums
PAYCHECK,Job,Money,Bank,Taxes,Employer
STAPLER,Clip,Paper,Together,Bind,Refill
PINPOINT,Exact,Specific,Pen,Direction,Narrow
CALENDER,Dates,Days,Months,Year,Holidays
ILLUMINATE,Light,Manuscript,Lamp,Candle,Visible
BIMBO,Monkey,Dumb,Stupid,Cunt,Licker
MOZZARELLA,Cheese,White,Ball,Water,Cow
IMPORTANT,Priority,Urgent,Top,Now,First
SUMO,Wrestle,Japan,Martial Art,Ring,Heavy
POSTER,Paper,Flat,Thin,Wall,Room
CRACK,Sleuth,Break,Drop,Glass,Fragile
666,Number,Satan,Devil,Bad,Bible
BADMINTON,Racket,Court,Grip,Shoes,Partner
BUTTOCKS,Sit,Ass,Booty,Junk,Fart
MACHINE GUN,Shoot,Point,Bullet,Rapid,War
GALLON,Milk,Measure,Liquid,Water,Jug
STATIC,Electricity,Stationary,Stop,Hair,Friction
CHIHUAHUA,Breed,Dog,Has,Something,Small
INFORMATION,Data,Fact,Knowledge,Intelligence,Lore
STENCH,Fart,Smell,Gross,Air,Stink
KITCHEN KNIVES,Butter,Boning,Butcher,Paring,Steak
EARPLUGS,Noise,Block,Sound,Cover,Decibels
KILLER,Scary,Kill People,Stalk,Kidnap,Shoot
VATICAN,Pope,Italy,Church,John Paul,Catholic
TAXI,Cab,Yellow,Bright,New York,Car
ELASTIC,Rubber,Stretch,Sew,Band,Return
HOST,Domain,Space,Bandwidth,Internet,Place
FLOW,Move,Water,Free,Pass,Hold
IMMEDIATE,Instant,Fast,Prompt,Quick,Urgent
ARCADE,Games,Kids,Go,Play,Place
BIKE,Speed,Fast,Dirt,Race,Two Wheels
SHELTER,Home,Hospice,Hospital,Asylum,Institution
FRUSTRATED,Hyped,Out Of Pocket,Piss,Mad,Angry
REGION,District,Locality,Council Area,Local Council,Planning
STYLIST,Hair,Cut,Style,Professional,Career
PHOTOGRAPHER,Sim Card,Pictures,Weddings,Studio,Camera
MEDICINE,Drug,Doctor,Pharmacy,Sick,Hospital
SNOWBALL,Throw,Ice,Winter,Fight,Fort
PUG,Dog,Face,Breed,Small,Cute
LEMURS,Monkeys,Madagascar,Movie,Long Tail,Forest
DISLOCATE,Joint,Shoulder,Crystal Lattice,Injury,Pain
BOMBAY,India,City,Bird,Animal,Mountain
UTENSIL,Spoon,Fork,Knife,Eat,Food
CRUNCH,Squish,Sit Up,Nestle,Smash,Gym
KALEIDOSCOPE,Tube,Transparent,Clear,Patterns,Bright Colours
ELSA,Frozen,Anna,Olaf,Cursed,Let It Go
INSECTS,Fly,Aunt,Worms,Mosquito,Scorpion
EYELINER,Eyes,Black,Colors,Make-Up,Face
PAVEMENT,Road,Asphalt,Alternative Rock,Driveway,Tar
MOUNT,Grow,Enlarge,Rise,Multiply,Build
PERIODIC TABLE,Elements,Chemistry,Metals,Science,Compounds
SWOT,Geek,Study,Hard Working,Memorize,Try Hard
UNIMPEDED,Open,Clear,Free,Unblocked,Unobstructed
WHITE,Apron,Paints,Chair,Coverlet,Paper-Bag
COMEDIANS,Performance,Carlin,Rivers,Rock,Cook
EGREGIOUS,Bad,Mistake,Error,Outstanding,Horrible
SCREAM,Ask,Call,Shout,Reply,Say
HULA,Hawaii,Skirt,Dance,Hoop,Shake
DOG,Best,Friend,Animal,World,Bodyguard
DINNER,Meal,Lunch,Date,Bed,Restaurant
SMOKING,Cigarette,Cigar,Nicotine,Filter,Tobacco
PORTAL,Gun,Quantum Space Hole,Transportation,Game,Fight Turrets
ADMIRE,Consider,Esteem,Honor,Respect,Value
EARTH,Planet,Space,Moon,Mars,Sun
STRAWBERRY,Red,Plant,California,Milk Shake,Beatles
GRAINS,Oat,Wheat,Bran,Corn,Rye
KOALA,Rare,Climb,Animal,Australia,Panda
PIRATES,Caribbean,Jack,Sparrow,Orlando,Skull-N-Bones
CREDIT CARD,Wallet,Pay,Cash,Carry,Purchase
COCA-COLA,Company,Bottle,Red,Soft Drink,Pepsi
ATLAS,Maps,World,Country,Earth,Globe
FUNNY,Fun,Laugh,Smile,Relaxed,Joke
BACKPACK,School,Books,Heavy,Bag,Carry
PETE,Awesome,Cool,Hot,Muscular,Attractive
SUNDAY,Saturday,Sunday,Church,Relax,Pub
WALRUS,Jar,Jam,Strawberry,Toast,Grape
BROADWAY,Play,Musical,New York,Sing,Dance
DIAMOND RING,Engagement,Gem,Gold,Expensive,Finger
IMAGINE,Conceive,Envision,Image,See,Think
TWIT,Dumb,Simple,Stupid,Idiot,Lame
MYTHOLOGY,Stories,Norse,Roman,Greek,Ancient
SPACESHIP,Space,Ship,Fly,Futuristic,Stars
LANE,Shoulder,Cars,Pass,Drive,Turn
POPULARIZE,Promote,Advertise,Build Up,Cry,Talk
SHEEP,Shear,Skin,Animal,Meat,Wool
FOOTSTOOL,Ottoman,Rest,Furniture,Cushion,Couch
ICEBERG,Titanic,Sink,Ship,Boat,Water
DUEL,Fight,Pistols,Swords,Paces,Glove
STOCK,Shares,Company,Loss,Profit,Mutual
WOODSHOP,Tools,Cutting,Brown,Trees,Safety Goggles
KRYPTONITE,Superman,Weakness,Green,Rock,Clark Kent
LIONS,Animal,Africa,Strong,Mane,Paw
CONSISTENT,Steady,Reliable,Constant,Regular,Inconsistent
LIGER,Tiger,Lion,White,Stripes,Hybrid
HIPPY,Peace,Love,Tie Die,Happiness,Change World
PIMP,Prostitute,Corner,Cane,Fur Coat,Hoes
KNOT,Tie,Married,Sailors,Hair,String
PIGLET,Pig,Winnie The Pooh,Hog,Tigger,Pink
CHARADES,Party,Games,Round,Team,Minute
LEMUR,King Julian,Madagascar,I Like To Move It,Squirrel,Animal
CRACKER,Cheese,Biscuit,Food,Christmas,Cream
PONYTAIL,Hair Tye,Hair,Pony,Style,Bald
SUPERMAN,Spiderman,Phantom,Diana,Ladies,Amazing
TALKING,Communicate,Speak,Mouth,Conversation,Tell
WITCH,Hocus Pocus,Sabrina,Warts,Broomstick,Cauldron
BOW,Ribbon,Presents,Hair,Girls,Christmas
JUMPER,Movie,Teleport,Move,Movie,Actor
FORGE,Make,Build,Produce,Frame,Construct
FIDDLE,Fidget,Fool,Monkey,Play,Tinker
PEGASUS,Wing,Horse,Medusa,Fly,Mythology
ABUSE,Hurtful,Shameful,Nasty,Cry,Punishable
BOY,Young,Male,Son,Immature,Human
ATHEIST,God,Religion,Church,Rational,Creation
PINE,Tree,Cone,Bark,Sent,Thing
CANBERRA,Australia,Capital,City,Australian Capital Territory,Act
DOMINATE,Win,Destroy,Margin,Completely,Utterly
